HP_ID,n_direct_trips,all_direct_transitions_resolved,first_origin_activity,has_source_unknown_purpose,has_unresolved_return,chain_coverage_status,full_functional_day_sequence_eligible
30482272.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
30482273.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
30482274.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
30521971.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
30946981.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
30973601.0,7,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
31066411.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
31262001.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
31262002.0,1,False,UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
31331751.0,3,True,HOME,False,False,MIXED_DIRECT_RBW_UNTIMED,False
31457401.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
31457403.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
31457404.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
31457405.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
31735671.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
31851901.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
31851902.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
31851903.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
32561361.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
32561363.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
32691661.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
32691662.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
32795461.0,2,False,UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
32795462.0,3,False,UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
32799191.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
33168471.0,1,False,UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
33168472.0,1,False,UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
33282061.0,6,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
33531111.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
33626161.0,1,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
33626162.0,3,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
33626164.0,3,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
34241451.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
34438971.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
34622671.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
34927751.0,2,False,UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
35082251.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
35187171.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
35195611.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
35379811.0,3,True,HOME,False,False,MIXED_DIRECT_RBW_UNTIMED,False
35379812.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
36120391.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
36120392.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
36224001.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
36629351.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
36629352.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
36694191.0,5,True,HOME,False,False,MIXED_DIRECT_RBW_UNTIMED,False
36776861.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
36890091.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
37031131.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
37031132.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
37031133.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
37824222.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
37901331.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
37907931.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
38746481.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
38803591.0,1,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
38803592.0,1,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
38887001.0,8,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
38887003.0,8,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
38977091.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39131321.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39342371.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39342372.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39477771.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39622371.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39708531.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39940711.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39940713.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39996631.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39996632.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
39996634.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
40375971.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
40477671.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
40477672.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
40477673.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
40607371.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
40699641.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
40699642.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
40919061.0,1,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
40960951.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
41176431.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
41519311.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
41519313.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
41539951.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
41740171.0,1,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
41740172.0,1,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
41740173.0,1,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
41740174.0,1,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
42034721.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
42366401.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
42522571.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
42522572.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
42956941.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
42956942.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
42956943.0,2,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
