HP_ID,H_ID,P_ID,W_ID,W_RBW,W_ZWECK,canonical_trip_purpose,origin_activity,destination_activity,destination_resolution,transition_observation_eligible,purpose_marginal_eligible,first_origin_status,row_provenance,W_ZWD_raw
93181431.0,93181430.0,1.0,3,0,4,SHOPPING,PRIVATE_ERRAND,SHOPPING,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,501.0
93181431.0,93181430.0,1.0,4,0,4,SHOPPING,SHOPPING,SHOPPING,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,501.0
93181431.0,93181430.0,1.0,5,0,8,RETURN_HOME,SHOPPING,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
93183681.0,93183680.0,1.0,1,0,1,WORK_COMMUTE,UNKNOWN,WORK,DIRECT_FROM_W_ZWECK,False,True,SOURCE_UNKNOWN,DIRECT_TRIP_OBSERVATION,7704.0
93183681.0,93183680.0,1.0,2,0,7,LEISURE,WORK,LEISURE,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,705.0
93183681.0,93183680.0,1.0,3,0,8,RETURN_HOME,LEISURE,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
93183681.0,93183680.0,1.0,4,0,4,SHOPPING,HOME,SHOPPING,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,599.0
93183681.0,93183680.0,1.0,5,0,8,RETURN_HOME,SHOPPING,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
93184021.0,93184020.0,1.0,1,0,1,WORK_COMMUTE,HOME,WORK,DIRECT_FROM_W_ZWECK,True,True,HOME_OBSERVED,DIRECT_TRIP_OBSERVATION,7704.0
93184021.0,93184020.0,1.0,2,0,7,LEISURE,WORK,LEISURE,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,701.0
93184021.0,93184020.0,1.0,3,0,4,SHOPPING,LEISURE,SHOPPING,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,501.0
