metric_id,dimension,dataset,category,share
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,BUSINESS>BUSINESS,0.009831121819836664
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,BUSINESS>ESCORT,0.0003604827345709379
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,BUSINESS>HOME,0.007946403617831388
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,BUSINESS>LEISURE,0.0010910978443662094
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,BUSINESS>OTHER,0.00018023741781692746
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,BUSINESS>PRIVATE_ERRAND,0.0017095741132683764
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,BUSINESS>SHOPPING,0.0009611435231101087
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,BUSINESS>WORK,0.0027984976694543982
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,EDUCATION>BUSINESS,0.00018336793279434725
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,EDUCATION>EDUCATION,0.006017083414861689
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,EDUCATION>ESCORT,0.0017593056473784935
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,EDUCATION>HOME,0.029349624269363907
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,EDUCATION>LEISURE,0.0046388634321402646
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,EDUCATION>OTHER,0.001595606394949946
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,EDUCATION>PRIVATE_ERRAND,0.0017006180212144227
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,EDUCATION>SHOPPING,0.0015218311840223438
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,EDUCATION>WORK,0.0002398622997660027
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,ESCORT>BUSINESS,0.00018336793279434725
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,ESCORT>EDUCATION,0.0006459134257376051
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,ESCORT>ESCORT,0.01458762421683953
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,ESCORT>HOME,0.029740520546207988
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,ESCORT>LEISURE,0.007281467225353288
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,ESCORT>OTHER,0.0002825940228218745
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,ESCORT>PRIVATE_ERRAND,0.003478618269537396
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,ESCORT>SHOPPING,0.003969865477889783
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,ESCORT>WORK,0.006774334449713149
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,HOME>BUSINESS,0.006736827529196465
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,HOME>EDUCATION,0.03337702487341456
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,HOME>ESCORT,0.03413090182789045
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,HOME>HOME,0.007383100712911092
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,HOME>LEISURE,0.09263564346015944
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,HOME>OTHER,0.017484579336113016
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,HOME>PRIVATE_ERRAND,0.05532165266736726
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,HOME>SHOPPING,0.06335147036090485
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,HOME>WORK,0.06399521305189251
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,LEISURE>BUSINESS,0.0007175571703004882
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,LEISURE>EDUCATION,0.0005930610551903734
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,LEISURE>ESCORT,0.0014468007683109002
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,LEISURE>HOME,0.09144788588806753
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,LEISURE>LEISURE,0.03591557817611968
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,LEISURE>OTHER,0.002614169412831377
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,LEISURE>PRIVATE_ERRAND,0.004818880650321818
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,LEISURE>SHOPPING,0.008892715762464375
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,LEISURE>WORK,0.0027404865945272
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,OTHER>EDUCATION,0.0011383899144143657
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,OTHER>HOME,0.015529116027196642
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,OTHER>LEISURE,0.001695993700863553
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,OTHER>OTHER,0.005627054307110247
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,OTHER>PRIVATE_ERRAND,0.0027205882674819905
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,OTHER>SHOPPING,0.0021669755076919256
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,OTHER>WORK,0.0013380493927914905
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,PRIVATE_ERRAND>BUSINESS,0.00047912393773679054
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,PRIVATE_ERRAND>EDUCATION,0.0012958745804290143
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,PRIVATE_ERRAND>ESCORT,0.0054680648562338
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,PRIVATE_ERRAND>HOME,0.05136178676925058
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,PRIVATE_ERRAND>LEISURE,0.005912808841180294
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,PRIVATE_ERRAND>OTHER,0.0006961625796064623
M2-TRANS-01,activity_transition,REF_TRAIN_TRANSITION,PRIVATE_ERRAND>PRIVATE_ERRAND,0.020758823127676355
