metric_id,group_dimension,group_value,variant,source_n,synthetic_n,reference_value,value,delta,unit,support_status
M2-COND-02,primary_activity_status,OTHER_ACTIVITY,D_MATCH_FULLDAY_V1,28,1375,2.713351470760619,2.2305454545454544,-0.48280601621516483,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,RETIRED,D_REPLAY_EXACT_V1,570,21818,2.639509094898537,2.7150976258135486,0.07558853091501172,trips/person-day,OK
M2-COND-02,primary_activity_status,RETIRED,D_MATCH_FULLDAY_V1,570,24199,2.639509094898537,2.6338278441257903,-0.0056812507727466155,trips/person-day,OK
M2-COND-02,primary_activity_status,SCHOOL,D_REPLAY_EXACT_V1,178,6473,2.7020499255123918,2.7951490807971573,0.09309915528476553,trips/person-day,OK
M2-COND-02,primary_activity_status,SCHOOL,D_MATCH_FULLDAY_V1,178,8171,2.7020499255123918,2.573246848610941,-0.12880307690145054,trips/person-day,OK
M2-COND-02,primary_activity_status,STUDENT,D_REPLAY_EXACT_V1,80,3138,3.181450584640059,3.2651370299553855,0.08368644531532654,trips/person-day,OK
M2-COND-02,primary_activity_status,STUDENT,D_MATCH_FULLDAY_V1,80,4483,3.181450584640059,3.0388132946687487,-0.1426372899713102,trips/person-day,OK
M2-COND-02,primary_activity_status,UNEMPLOYED,D_REPLAY_EXACT_V1,32,1825,2.618646939664388,2.8268493150684932,0.20820237540410513,trips/person-day,OK
M2-COND-02,primary_activity_status,UNEMPLOYED,D_MATCH_FULLDAY_V1,32,2004,2.618646939664388,2.632235528942116,0.01358858927772788,trips/person-day,OK
M2-COND-02,primary_activity_status,UNKNOWN,D_REPLAY_EXACT_V1,2,90,2.889134544264047,2.5555555555555554,-0.3335789887084917,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,UNKNOWN,D_MATCH_FULLDAY_V1,2,157,2.889134544264047,2.9235668789808917,0.034432334716844704,trips/person-day,LOW_N
M2-COND-01,household_size_class,1,D_REPLAY_EXACT_V1,402,28495,0.8380008519167945,0.8741182663625198,0.03611741444572525,share,OK
